"date","branch","observation_type","portfolio_kbob","disbursements_kbob","overdue_kbob","clients","mora_rate","source_sheet","portfolio_growth_mom","clients_growth_mom","avg_balance_bob","disbursement_per_client_bob","clients_per_million_bob","client_outreach_index","portfolio_depth_index","risk_penalty","inclusion_responsibility_score"
2013-07-01,"Global","observed",43988.48,5968.8,56.84,2983,0.00129215649188151,"PP.global",0.059384413530148,0.0514628128304546,14746.3895407308,2000.93865236339,67.8132092766106,0.779461719362425,0.629754802314726,0.935392175405924,76.5735735456815
2013-08-01,"Global","observed",45462.35,5437.48,-28.71,3087,-0.000631511569463523,"PP.global",0.0335058178868648,0.0348642306402951,14727.032717849,1761.4123744736,67.9023411680215,0.806637052521557,0.650855252034462,1,79.8575101871117
2013-09-01,"Global","observed",47649.65,6232.95,-46.32,3204,-0.000972095282966402,"PP.global",0.0481123391113745,0.0379008746355685,14871.9257178527,1945.36516853933,67.2407877077796,0.837209302325581,0.682169420632763,1,82.3255477352619
2013-10-01,"Global","observed",51386.04,8200.6,67.03,3334,0.00130443988289426,"PP.global",0.0784137973731183,0.0405742821473158,15412.7294541092,2459.68806238752,64.8814347242948,0.871178468774497,0.735660915356398,0.934778005855287,84.3243110165225
2013-11-01,"Global","observed",54594.6,7837.6,-33.93,3417,-0.000621490037476234,"PP.global",0.0624403047987354,0.0248950209958008,15977.3485513608,2293.70793093357,62.5886076644943,0.892866475045728,0.781595807139768,1,88.0911979664794
2013-12-01,"Global","observed",57157.46,7217.9,19.66,3483,0.000343962100485221,"PP.global",0.0469434705996563,0.0193151887620719,16410.4105656044,2072.32271030721,60.93692756816,0.910112359550562,0.818286626933048,0.982801894975739,89.7102546850343
2014-01-01,"Global","observed",58938.72,6914.1,38.45,3557,0.000652372498079361,"PP.global",0.0311640860178182,0.0212460522538043,16569.7835254428,1943.80095586168,60.3508186129594,0.929448654298406,0.84378778176202,0.967381375096032,91.1336936697015
2014-02-01,"Global","observed",60410.07,6763.4,130.98,3636,0.00216818156310695,"PP.global",0.0249640643705868,0.0222097272982851,16614.4306930693,1860.12101210121,60.1886407348973,0.950091455448132,0.864852154261042,0.891590921844653,91.2819558371309
2014-03-01,"Global","observed",61583.46,6240.9,28.13,3674,0.00045677849214708,"PP.global",0.0194237483916175,0.0104510451045106,16761.9651605879,1698.66630375612,59.6588759384419,0.96002090410243,0.881650824901357,0.977161075392646,93.9937914600151
2014-04-01,"Global","observed",63307.4,7588.3,21.01,3700,0.000331872735256858,"PP.global",0.0279935554124435,0.00707675557974952,17110.1081081081,2050.89189189189,58.4449843146299,0.966814737392213,0.906331366122659,0.983406363237157,95.1988051180336
2014-05-01,"Global","observed",65258.72,7310.9,49.62,3748,0.000760358155967509,"PP.global",0.0308229369710333,0.0129729729729731,17411.6115261473,1950.613660619,57.432937697828,0.979357198850274,0.934267160695529,0.961982092201625,96.2355166074121
2014-06-01,"Global","observed",67776.74,7286.7,147.22,3771,0.00217213161919561,"PP.global",0.0385851883089341,0.00613660618996792,17973.1477061787,1932.29912490056,55.6385568264275,0.985367128298929,0.970316035021819,0.891393419040219,96.2057058464054
2014-07-01,"Global","observed",69850.17,8175.8,122.92,3827,0.00175976665482704,"PP.global",0.0305920585734869,0.0148501723680721,18251.9388555004,2136.34700810034,54.7886998700218,1,1,0.912011667258648,98.240233345173
