"date","branch","observation_type","portfolio_kbob","disbursements_kbob","overdue_kbob","clients","mora_rate","source_sheet","portfolio_growth_mom","clients_growth_mom","avg_balance_bob","disbursement_per_client_bob","clients_per_million_bob","month_index","maturity_stage","positive_mora","risk_adjusted_growth","disbursement_growth_mom","next_mora_rate","next_mora_change"
2012-12-01,"Global","observed",25579.33,4732.6,10.37,1765,0.000405405458235223,"PP.global",0.152754312238759,0.119213696892835,14492.5382436261,2681.3597733711,69.0010254373355,10,"Scale-up",0.000405405458235223,0.152348906780524,0.0143386844417772,0.000126538119783361,-0.000278867338451862
2013-01-01,"Global","observed",28607.98,4820.4,3.62,1946,0.000126538119783361,"PP.global",0.118402241184582,0.102549575070822,14700.914696814,2477.08119218911,68.0229782039836,11,"Scale-up",0.000126538119783361,0.118275703064798,0.0185521700545153,0.00144700807435653,0.00132046995457317
2013-02-01,"Global","observed",31084.83,4399.6,44.98,2113,0.00144700807435653,"PP.global",0.0865789894987341,0.0858170606372046,14711.2304779934,2082.15806909607,67.975279260012,12,"Scale-up",0.00144700807435653,0.0851319814243776,-0.0872956601111939,0.00120827776256635,-0.000238730311790173
2013-03-01,"Global","observed",33965.7,5329.1,41.04,2320,0.00120827776256635,"PP.global",0.0926776823292903,0.0979649787032655,14640.3879310345,2297.02586206897,68.3042010027763,13,"Scale-up",0.00120827776256635,0.0914694045667239,0.211269206291481,0.00195816778503446,0.000749890022468107
2013-04-01,"Global","observed",37836.39,6829.3,74.09,2536,0.00195816778503446,"PP.global",0.113958787835964,0.0931034482758621,14919.7121451104,2692.94164037855,67.0254218227479,14,"Scale-up",0.00195816778503446,0.11200062005093,0.281510949316019,0.00249497587900063,0.000536808093966167
2013-05-01,"Global","observed",40240.87,5195.2,100.4,2712,0.00249497587900063,"PP.global",0.0635494031010888,0.0694006309148265,14838.0789085546,1915.63421828909,67.3941691618496,15,"Scale-up",0.00249497587900063,0.0610544272220882,-0.239277817638704,0.000448670461540536,-0.00204630541746009
2013-06-01,"Global","observed",41522.68,4456.8,18.63,2837,0.000448670461540536,"PP.global",0.0318534365683445,0.0460914454277286,14636.1226647867,1570.95523440254,68.3241062474773,16,"Scale-up",0.000448670461540536,0.031404766106804,-0.14213119802895,0.00129215649188151,0.000843486030340974
2013-07-01,"Global","observed",43988.48,5968.8,56.84,2983,0.00129215649188151,"PP.global",0.059384413530148,0.0514628128304546,14746.3895407308,2000.93865236339,67.8132092766106,17,"Scale-up",0.00129215649188151,0.0580922570382665,0.339256865912763,0,-0.00129215649188151
2013-08-01,"Global","observed",45462.35,5437.48,-28.71,3087,-0.000631511569463523,"PP.global",0.0335058178868648,0.0348642306402951,14727.032717849,1761.4123744736,67.9023411680215,18,"Scale-up",0,0.0335058178868648,-0.0890162176651924,0,0
2013-09-01,"Global","observed",47649.65,6232.95,-46.32,3204,-0.000972095282966402,"PP.global",0.0481123391113745,0.0379008746355685,14871.9257178527,1945.36516853933,67.2407877077796,19,"Consolidation",0,0.0481123391113745,0.146293871425734,0.00130443988289426,0.00130443988289426
2013-10-01,"Global","observed",51386.04,8200.6,67.03,3334,0.00130443988289426,"PP.global",0.0784137973731183,0.0405742821473158,15412.7294541092,2459.68806238752,64.8814347242948,20,"Consolidation",0.00130443988289426,0.077109357490224,0.315685189196127,0,-0.00130443988289426
2013-11-01,"Global","observed",54594.6,7837.6,-33.93,3417,-0.000621490037476234,"PP.global",0.0624403047987354,0.0248950209958008,15977.3485513608,2293.70793093357,62.5886076644943,21,"Consolidation",0,0.0624403047987354,-0.044265053776553,0.000343962100485221,0.000343962100485221
2013-12-01,"Global","observed",57157.46,7217.9,19.66,3483,0.000343962100485221,"PP.global",0.0469434705996563,0.0193151887620719,16410.4105656044,2072.32271030721,60.93692756816,22,"Consolidation",0.000343962100485221,0.0465995084991711,-0.0790675717056243,0.000652372498079361,0.00030841039759414
2014-01-01,"Global","observed",58938.72,6914.1,38.45,3557,0.000652372498079361,"PP.global",0.0311640860178182,0.0212460522538043,16569.7835254428,1943.80095586168,60.3508186129594,23,"Consolidation",0.000652372498079361,0.0305117135197388,-0.0420898045137782,0.00216818156310695,0.00151580906502759
2014-02-01,"Global","observed",60410.07,6763.4,130.98,3636,0.00216818156310695,"PP.global",0.0249640643705868,0.0222097272982851,16614.4306930693,1860.12101210121,60.1886407348973,24,"Consolidation",0.00216818156310695,0.0227958828074799,-0.0217960399762804,0.00045677849214708,-0.00171140307095987
2014-03-01,"Global","observed",61583.46,6240.9,28.13,3674,0.00045677849214708,"PP.global",0.0194237483916175,0.0104510451045106,16761.9651605879,1698.66630375612,59.6588759384419,25,"Consolidation",0.00045677849214708,0.0189669698994705,-0.0772540438241122,0.000331872735256858,-0.000124905756890222
2014-04-01,"Global","observed",63307.4,7588.3,21.01,3700,0.000331872735256858,"PP.global",0.0279935554124435,0.00707675557974952,17110.1081081081,2050.89189189189,58.4449843146299,26,"Consolidation",0.000331872735256858,0.0276616826771867,0.21589834799468,0.000760358155967509,0.000428485420710651
2014-05-01,"Global","observed",65258.72,7310.9,49.62,3748,0.000760358155967509,"PP.global",0.0308229369710333,0.0129729729729731,17411.6115261473,1950.613660619,57.432937697828,27,"Consolidation",0.000760358155967509,0.0300625788150658,-0.0365562774270916,0.00217213161919561,0.0014117734632281
2014-06-01,"Global","observed",67776.74,7286.7,147.22,3771,0.00217213161919561,"PP.global",0.0385851883089341,0.00613660618996792,17973.1477061787,1932.29912490056,55.6385568264275,28,"Consolidation",0.00217213161919561,0.0364130566897385,-0.00331012597628211,0.00175976665482704,-0.000412364964368573
2014-07-01,"Global","observed",69850.17,8175.8,122.92,3827,0.00175976665482704,"PP.global",0.0305920585734869,0.0148501723680721,18251.9388555004,2136.34700810034,54.7886998700218,29,"Consolidation",0.00175976665482704,0.0288322919186599,0.122016825174633,,
